trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,11.799430300015956,11.799430300015956,0.03238360001705587,12.813628900097683,0.4564814814814815,-0.4203703703703704,1,0,0,target,050899,001,2022-09-16_12h21.24.213,tutorial 3,2022.2.4,60.004308244341644,
1,0,1,0,10,14.931821800069883,14.931821800069883,0.01888020010665059,15.945855600060895,0.07685185185185185,0.46296296296296297,1,0,0,target,050899,001,2022-09-16_12h21.24.213,tutorial 3,2022.2.4,60.004308244341644,
2,0,2,0,10,18.007544199936092,18.007544199936092,0.026862400118261576,19.011584100080654,0.20092592592592592,-0.22870370370370371,1,0,0,target,050899,001,2022-09-16_12h21.24.213,tutorial 3,2022.2.4,60.004308244341644,
3,0,3,0,10,20.231597400037572,20.231597400037572,0.018886199919506907,21.244324600091204,-0.5037037037037037,0.28888888888888886,1,0,0,target,050899,001,2022-09-16_12h21.24.213,tutorial 3,2022.2.4,60.004308244341644,
4,0,4,0,5,22.53977739997208,22.53977739997208,0.01579880015924573,23.54319420014508,0.22685185185185186,-0.007407407407407408,1,0,0,target,050899,001,2022-09-16_12h21.24.213,tutorial 3,2022.2.4,60.004308244341644,
